,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
1,1551,815,402,344,346,257
2,1580,1279,299,123,628,467
3,2539,1989,535,221,1184,317
4,3004,2327,890,346,1696,414
5,3081,2368,1133,439,2024,451
6,2783,2235,1311,578,1949,449
7,2388,1988,1393,680,1785,552
8,1889,1629,1339,679,1664,387
9,1521,1395,1203,694,1374,448
10,1195,1201,1086,726,1127,410
11,973,950,951,685,946,407
12,725,835,822,680,801,369
13,592,678,704,634,661,367
14,456,598,644,631,555,390
15,356,491,542,586,479,384
16,314,391,426,536,349,354
17,213,324,393,546,274,351
18,175,256,293,447,236,286
19,158,224,292,437,190,287
20,125,198,240,400,138,284
21,89,144,233,335,119,235
22,88,118,202,280,114,251
23,60,116,170,263,81,211
24,61,82,139,252,62,203
25,57,81,116,206,65,154
26,31,59,90,208,53,147
27,31,60,77,163,40,148
28,22,50,57,157,33,120
29,29,51,58,135,26,128
30,19,43,51,98,19,114
31,24,22,54,80,22,118
32,9,27,45,68,19,96
33,12,23,40,70,17,104
34,19,21,27,70,15,81
35,10,18,24,52,15,90
36,9,7,21,33,7,71
37,5,13,26,23,18,77
38,9,13,17,30,8,50
39,5,14,15,22,7,66
40,4,8,22,26,5,62
41,7,6,10,14,9,43
42,4,7,15,13,3,50
43,3,4,10,9,6,40
44,1,6,14,5,2,45
45,1,3,10,6,7,45
46,0,4,7,4,4,32
47,1,3,11,5,1,28
48,1,3,7,6,4,29
49,0,2,6,6,2,21
50,3,2,4,2,2,30
51,0,1,4,6,0,20
52,1,0,5,2,1,19
53,1,0,6,2,1,9
54,0,1,4,4,1,13
55,0,0,1,3,1,17
56,3,1,7,1,0,11
57,0,0,3,2,0,12
58,0,1,2,1,1,8
59,1,0,0,3,0,14
60,0,1,4,1,0,22
61,1,1,2,3,0,7
62,0,1,0,1,1,7
63,1,0,2,1,1,16
64,0,1,2,1,1,10
65,0,1,1,0,0,6
66,0,1,1,0,0,1
67,0,1,2,3,0,4
68,0,0,2,1,0,6
69,0,0,2,1,2,5
70,1,1,0,0,0,2
71,0,0,3,0,0,5
72,0,0,1,0,0,4
73,0,0,1,1,0,3
74,0,0,0,1,0,2
75,0,0,4,0,0,3
76,0,0,1,0,0,5
77,0,0,1,0,0,5
78,0,0,4,0,0,0
79,1,0,3,0,0,4
80,0,0,1,0,0,5
81,0,0,1,0,0,5
82,0,0,0,0,0,6
83,0,0,0,0,0,2
84,0,1,1,0,0,2
85,0,0,0,1,0,2
87,0,0,1,0,0,1
88,0,0,1,0,0,1
89,0,0,1,0,0,1
90,0,0,0,0,0,3
91,1,0,0,0,1,3
92,0,0,1,0,0,0
93,0,1,0,0,0,1
94,0,0,2,0,0,1
95,0,0,1,0,0,0
96,0,0,1,0,0,2
97,0,0,0,0,0,1
98,0,0,1,0,0,1
99,0,0,0,0,0,1
100,0,0,0,0,0,2
102,0,0,0,0,0,1
103,0,1,0,1,0,0
104,0,0,0,0,0,1
105,0,0,1,0,0,0
106,0,1,0,0,0,0
107,0,0,0,0,0,1
108,0,0,0,0,0,1
109,0,0,0,0,0,2
112,0,0,1,0,0,0
114,0,0,0,0,0,1
115,0,0,0,0,0,1
118,0,0,2,0,0,0
119,0,0,0,0,0,1
120,1,0,0,0,0,0
121,0,0,0,0,0,1
123,0,0,0,0,0,1
124,0,0,1,0,0,0
127,0,0,1,0,0,0
131,0,0,1,0,0,0
133,0,0,1,0,0,0
137,0,0,0,0,0,1
140,0,0,0,0,0,2
142,0,0,1,0,0,0
143,0,0,0,0,0,1
144,0,0,1,0,0,1
145,0,0,0,0,0,1
147,0,0,0,0,0,1
149,0,0,1,0,0,0
152,0,0,1,0,0,0
167,0,0,1,0,0,0
170,0,0,1,0,0,0
176,0,0,1,0,0,0
181,0,0,2,0,0,0
199,0,0,1,0,0,0
200,0,0,1,0,0,0
207,0,0,0,0,0,1
237,0,0,1,0,0,0
246,0,0,1,0,0,0
249,0,0,0,0,0,1
288,0,0,1,0,0,0
340,0,0,0,0,1,0
346,0,0,1,0,0,0
359,0,0,1,0,0,0
374,0,0,0,0,0,1
380,0,0,0,0,0,1
544,0,0,0,0,0,1
565,0,0,0,0,0,1
583,0,0,0,0,0,1
677,0,0,0,0,0,1
741,0,0,0,0,0,1
948,0,0,0,0,0,1
