Sentance Len,Freqency
1,257
2,467
3,317
4,414
5,451
6,449
7,552
8,387
9,448
10,410
11,407
12,369
13,367
14,390
15,384
16,354
17,351
18,286
19,287
20,284
21,235
22,251
23,211
24,203
25,154
26,147
27,148
28,120
29,128
30,114
31,118
32,96
33,104
34,81
35,90
36,71
37,77
38,50
39,66
40,62
41,43
42,50
43,40
44,45
45,45
46,32
47,28
48,29
49,21
50,30
51,20
52,19
53,9
54,13
55,17
56,11
57,12
58,8
59,14
60,22
61,7
62,7
63,16
64,10
65,6
66,1
67,4
68,6
69,5
70,2
71,5
72,4
73,3
74,2
75,3
76,5
77,5
79,4
80,5
81,5
82,6
83,2
84,2
85,2
87,1
88,1
89,1
90,3
91,3
93,1
94,1
96,2
97,1
98,1
99,1
100,2
102,1
104,1
107,1
108,1
109,2
114,1
115,1
119,1
121,1
123,1
137,1
140,2
143,1
144,1
145,1
147,1
207,1
249,1
374,1
380,1
544,1
565,1
583,1
677,1
741,1
948,1
