	Emon Jubayer	Hasan Mahbub	Kandari Athorbo	MZI	Nir Shondhani	Tareque Anu
1	1977	861	2366	1201	951	5094
2	18658	20013	15262	16522	14636	14619
3	34606	39976	37701	38174	34766	33938
4	45017	52651	48962	52078	45276	45420
5	33759	33013	36980	32834	32606	34151
6	23987	20550	22546	20460	19614	22957
7	13064	11809	13071	12177	10801	13950
8	7825	7157	7001	7093	5790	8789
9	4415	3818	3378	3465	2984	4949
10	2088	1848	1615	2232	1357	2812
11	1059	840	703	1457	558	1343
12	433	430	303	593	235	691
13	133	167	157	559	85	227
14	72	67	54	86	24	114
15	25	39	17	44	10	58
16	10	11	14	21	4	26
17	5	8	13	16	1	17
18	2	1	6	3	0	3
19	7	2	1	0	0	0
20	0	1	2	1	0	1
22	0	0	1	0	0	0
23	0	0	0	0	0	1
24	0	1	0	0	0	0
27	0	0	1	0	0	1
29	0	1	0	0	0	0
